symbol,company_name
ADBL,Agricultural Development Bank Limited
AHL,Asian Hydropower Limited
AHPC,Arun Valley Hydropower Development Company Limited
AKJCL,Ankhukhola Hydropower Company Limited
AKPL,Arun Kabeli Power Limited
ALICL,Asian Life Insurance Company Limited
API,Api Power Company Limited
BARUN,Barun Hydropower Company Limited
BBC,Bishal Bazar Company Limited
BEDC,Bhugol Energy Development Company Limited
BFC,Best Finance Company Limited
BGWT,Bhagawati Hydropower Development Company Limited
BHPL,Barahi Hydropower Public Limited
BNL,Bottlers Nepal Limited
BNT,Bottlers Nepal
BPCL,Butwal Power Company Limited
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited
CGH,Chandragiri Hills Limited
CHCL,Chilime Hydro power Company Limited
CHDC,CEDB Holdings Limited
CHL,Chhyangdi Hydropower Company Limited
CIT,Citizen Investment Trust
CITY,City Hotel Limited
CLI,Citizen Life Insurance Company Limited
CZBIL,Citizens Bank International Limited
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited
EBL,Everest Bank Limited
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited
GBBL,Garima Bikas Bank Limited
GBIME,Global IME Bank Limited
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited
GFCL,Goodwill Finance Company Limited
HATHY,Hathway Investment Nepal Limited
HBL,Himalayan Bank Limited
HDL,Himalayan Distillery Limited
HEI,Himalayan Everest Insurance Limited
HIDCL,Hydroelectricity Investment and Development Company Limited
HPPL,Himalayan Power Partner Limited
HRL,Himalayan Reinsurance Limited
ILI,IME Life Insurance Company Limited
JBBL,Jyoti Bikash Bank Limited
JFL,Janaki Finance Company Limited
JOSHI,Joshi Hydropower Development Company Limited
KBL,Kumari Bank Limited
KDL,Kalinchowk Darshan Limited
KPCL,Kalika Power Company Limited
LICN,Life Insurance Corporation Nepal Limited
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited
MANDU,Mandu Hydropower Limited
MBL,Machhapuchchhre Bank Limited
MDB,Miteri Development Bank Limited
MFIL,Manjushree Finance Limited
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited
MNBBL,Muktinath Bikas Bank Limited
MSHL,Mid Solu Hydropower Company Limited
NABIL,Nabil Bank Limited
NADEP,NADEP Laghubitta Bittiya Sanstha Limited
NBL,Nepal Bank Limited
NHPC,National Hydro Power Company Limited
NICA,NIC Asia Bank Limited
NICL,Nepal Insurance Company Limited
NIL,Neco Insurance Limited
NLG,NLG Insurance Company Limited
NLIC,Nepal Life Insurance Company Limited
NMB,NMB Bank Limited
NRIC,Nepal Reinsurance Company Limited
NTC,Nepal Doorsanchar Company Limited
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited
OHL,Oriental Hotel Limited
PCBL,Prime Commercial Bank Limited
PRIN,Prabhu Insurance Company Limited
RAWA,Rawa Energy Development Ltd.
RBCL,Rastriya Beema Company Limited
RHPL,Rasuwagadhi Hydropower Company Limited
RLFL,Reliance Finance Limited
RNLI,Reliable Nepal Life Insurance Limited
SADBL,Shangrila Development Bank Limited
SAHAS,Sahas Urja Limited
SANIMA,Sanima Bank Limited
SANVI,Sanvi Energy Limited
SAPDBL,Saptakoshi Development Bank Limited
SBI,Nepal SBI Bank Limited
SBL,Siddhartha Bank Limited
SCB,Standard Chartered Bank Nepal Limited
SHIVM,Shivam Cements Limited
SHL,Soaltee Hotel Limited
SHPC,Sanima Mai Hydropower Limited
SICL,Shikhar Insurance Company Limited
SIKLES,Sikles Hydropower Limited
SINDU,Sindhu Bikas Bank Limited
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited
SNLI,Sun Nepal Life Insurance Company Limited
SPDL,Synergy Power Development Limited
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited
TRH,Taragaon Regency Hotel Limited
UNHPL,Union Hydro Holdings Company Limited
UNL,Unilever Nepal Limited
UPCL,Universal Power Company Limited
UPPER,Upper Tamakoshi Hydropower Limited
